"state_code" "county_code" "site_number" "parameter_code" "poc" "latitude" "longitude" "datum" "parameter" "date_local" "time_local" "date_gmt" "time_gmt" "sample_measurement" "units_of_measure" "units_of_measure_code" "sample_duration" "sample_duration_code" "sample_frequency" "detection_limit" "uncertainty" "qualifier" "method_type" "method" "method_code" "state" "county" "date_of_last_change" "cbsa_code"
"36" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-06-26" "23:59" "2020-06-27" "04:59" 0.66 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"37" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-07-02" "23:59" "2020-07-03" "04:59" 1.03 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"38" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-07-02" "23:59" "2020-07-03" "04:59" 0.89 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"39" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-07-08" "23:59" "2020-07-09" "04:59" 0.9 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"40" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-07-14" "23:59" "2020-07-15" "04:59" 1.19 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"41" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-07-20" "23:59" "2020-07-21" "04:59" 4.16 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"42" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-07-26" "23:59" "2020-07-27" "04:59" 0.57 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"43" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-01" "23:59" "2020-08-02" "04:59" 0.5 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"44" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-01" "23:59" "2020-08-02" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"45" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-08-07" "23:59" "2020-08-08" "04:59" 1.05 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
